dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,680, if (str == null) {,1,1,0,1,3,0,0,0,0,2,18,4,0.741071429,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,684,return Integer.decode(str);,0,0,0,1,2,1,3,0,0,3,27,5,0.741071429,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,460, for(final String pfx : hex_prefixes) {,2,0,0,1,3,1,0,1,0,4,38,4,0.30952381,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,461,if (str.startsWith(pfx)) {,0,0,0,2,5,0,3,0,1,3,26,7,0.30952381,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,451,if (str == null) {,1,1,0,1,3,0,0,0,1,2,18,4,0.30952381,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,454, if (StringUtils.isBlank(str)) {,0,0,0,2,5,0,3,0,0,3,31,5,0.30952381,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,459,int pfxLen = 0;,1,0,0,0,0,0,0,0,0,1,15,5,0.30952381,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,458,"final String[] hex_prefixes = {""0x"", ""0X"", ""-0x"", ""-0X"", ""#"", ""-#""};",1,0,0,2,4,1,0,1,0,9,68,4,0.30952381,0
defect4j,lang,org/apache/commons/lang3/StringUtils,1,261,if (Character.isWhitespace(cs.charAt(i)) == false) {,0,1,0,3,7,0,5,0,1,7,52,6,0.275,0
defect4j,lang,org/apache/commons/lang3/StringUtils,1,260,for (int i = 0; i < strLen; i++) {,4,1,0,1,3,0,0,0,1,6,34,4,0.275,0
defect4j,lang,org/apache/commons/lang3/StringUtils,1,262,return false;,0,0,0,0,0,1,0,0,0,1,13,8,0.275,0
defect4j,lang,org/apache/commons/lang3/StringUtils,1,257,if (cs == null || (strLen = cs.length()) == 0) {,2,3,0,3,7,0,2,0,1,8,48,4,0.275,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,78, if (result != null) {,1,1,0,1,3,0,0,0,0,2,21,6,1,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,76,"final CharSequence subSeq = input.subSequence(index, index + i);",3,1,0,1,2,1,3,1,0,9,64,6,1,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,77,final CharSequence result = lookupMap.get(subSeq);,1,0,0,1,2,1,3,1,0,6,50,6,1,1
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,70,int max = longest;,2,0,0,0,0,0,0,0,0,2,18,5,0.8,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,71, if (index + longest > input.length()) {,2,2,0,2,5,0,2,0,0,6,39,4,0.8,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,75,for (int i = max; i >= shortest; i--) {,5,1,0,1,3,0,0,0,1,7,39,4,0.8,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,99," throw new SerializationException(""ClassNotFoundException while reading cloned object data"", ex);",1,0,0,1,2,0,0,1,0,3,96,8,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,98, catch (ClassNotFoundException ex) {,1,0,0,1,3,0,0,1,0,2,35,6,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,267,catch (ClassNotFoundException ex) {,1,0,0,1,3,0,0,1,0,2,35,7,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,268,"return Class.forName(name, false, Thread.currentThread().getContextClassLoader());",0,0,0,3,6,1,6,0,0,7,82,9,1,1
defect4j,lang,org/apache/commons/lang3/SerializationException,13,75,"super(msg, cause);",2,0,0,1,2,0,0,0,0,2,18,4,0.488372093,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,264,String name = desc.getName();,1,0,0,1,2,0,2,1,0,4,29,5,0.079069767,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,250,this.classLoader = classLoader;,2,0,0,0,0,0,0,0,0,3,31,5,0.079069767,1
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,95,T readObject = (T) in.readObject();,1,0,0,2,4,0,2,2,0,5,35,6,0.079069767,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,83,ByteArrayInputStream bais = new ByteArrayInputStream(objectData);,2,0,0,1,2,0,0,2,0,4,65,4,0.079069767,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,85,ClassLoaderAwareObjectInputStream in = null;,1,0,0,0,0,0,0,1,0,2,44,4,0.079069767,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,249,super(in);,1,0,0,1,2,0,0,0,0,1,10,5,0.079069767,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,266," return Class.forName(name, false, classLoader);",0,0,0,1,2,0,4,0,0,5,47,8,0.079069767,0
